date,hour,class,type,regime,p_mean_pred_eur_mwh,Price_EUR_MWh,k_anchor,mu_anchor,TomorrowMean_EUR_MWh,LowQuantileUsed,ValleyHours,ValleyMultBase,Source
2025-12-27,17,SAT_INV,SAT,LOW,83.81262130061353,87.45617782418705,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-27,18,SAT_INV,SAT,LOW,83.81262130061353,98.02498941193547,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-27,19,SAT_INV,SAT,LOW,83.81262130061353,106.19965273575508,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-27,20,SAT_INV,SAT,LOW,83.81262130061353,109.321518272441,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-27,21,SAT_INV,SAT,LOW,83.81262130061353,103.33363385562417,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-27,22,SAT_INV,SAT,LOW,83.81262130061353,95.89373706686233,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-27,23,SAT_INV,SAT,LOW,83.81262130061353,90.45510919079078,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-28,0,DOM_INV,DOM,LOW,72.13432219289926,63.64492368022216,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-28,1,DOM_INV,DOM,LOW,72.13432219289926,58.70604421391822,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-28,2,DOM_INV,DOM,LOW,72.13432219289926,55.75325167344517,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-28,3,DOM_INV,DOM,LOW,72.13432219289926,52.98017653964431,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-28,4,DOM_INV,DOM,LOW,72.13432219289926,62.137151387303135,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-28,5,DOM_INV,DOM,LOW,72.13432219289926,61.854684805201366,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-28,6,DOM_INV,DOM,LOW,72.13432219289926,62.82386316934765,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-28,7,DOM_INV,DOM,LOW,72.13432219289926,65.44437100772632,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-28,8,DOM_INV,DOM,LOW,72.13432219289926,68.38114142767964,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-28,9,DOM_INV,DOM,LOW,72.13432219289926,70.49325153515035,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-28,10,DOM_INV,DOM,LOW,72.13432219289926,70.22988895269376,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-28,11,DOM_INV,DOM,LOW,72.13432219289926,68.4514470122011,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-28,12,DOM_INV,DOM,LOW,72.13432219289926,66.94608313943274,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-28,13,DOM_INV,DOM,LOW,72.13432219289926,67.40044357705575,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-28,14,DOM_INV,DOM,LOW,72.13432219289926,66.10541277415165,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-28,15,DOM_INV,DOM,LOW,72.13432219289926,63.83780083882115,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-28,16,DOM_INV,DOM,LOW,72.13432219289926,67.9533026468156,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-28,17,DOM_INV,DOM,LOW,72.13432219289926,78.7764533511387,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-28,18,DOM_INV,DOM,LOW,72.13432219289926,88.77373911353223,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-28,19,DOM_INV,DOM,LOW,72.13432219289926,95.85900551014043,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-28,20,DOM_INV,DOM,LOW,72.13432219289926,100.83319083149073,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-28,21,DOM_INV,DOM,LOW,72.13432219289926,98.80431970144852,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-28,22,DOM_INV,DOM,LOW,72.13432219289926,90.96517954259271,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
2025-12-28,23,DOM_INV,DOM,LOW,72.13432219289926,84.0686061984288,1.5813645142154475,88.87893887623386,140.55,0.05,"[0, 1, 2, 3]",0.55,FORECAST_MED
